0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
0.000, -99999.000	0.000, -99999.000
